feature,importance
FED_RATE,0.08561075
VIX,0.066606306
return_5d,0.058481533
wti_brent_spread,0.05571907
US_CPI,0.05545306
DXY,0.05474548
GLOBAL_EPU,0.051761713
ma_ratio_60,0.043824736
US10Y,0.042898268
gdelt_conflict_ma5,0.041780397
vol_ratio,0.040006176
return_10d,0.035999764
high_vol,0.03595105
gdelt_goldstein_chg,0.03540294
gdelt_tone,0.03453302
volatility,0.034507014
ma_ratio,0.032516092
gdelt_mentions,0.030803556
return_20d,0.027799742
gdelt_coop_cnt,0.025482707
return_1d,0.023864983
US_EPU,0.023129638
gdelt_goldstein,0.020591242
gdelt_conflict_cnt,0.015849123
gdelt_conflict_intensity,0.013873496
gdelt_tone_chg,0.012808223
policy_flag,0.0
opec_flag,0.0
geopolitics_flag,0.0
news_count,0.0
sentiment_score,0.0
