feature,mean_abs_shap,mean_shap,group
wti_brent_spread,0.07067175,-0.06962526,价格动量
cp11_tanker,0.017873032,-0.017185576,航运咽喉点
ma_ratio_60,0.009550795,-0.0093648005,价格动量
GLOBAL_EPU,0.006666708,0.006666708,宏观金融
volatility,0.0062734215,-0.0058828252,价格动量
FED_RATE,0.006273282,-0.006273282,宏观金融
return_10d,0.0058053196,-0.0033541778,价格动量
gdelt_conflict_intensity,0.0057478845,-0.004183943,GDELT地缘政治
gdelt_goldstein,0.0051969867,-0.005159736,GDELT地缘政治
return_5d,0.004978298,0.001584142,价格动量
cp6_tanker,0.00467041,-0.0046376963,航运咽喉点
US_PPI,0.0040082405,-0.0031089415,宏观金融
US10Y,0.0032125742,-0.0016519,宏观金融
ma_ratio,0.0029442806,-0.00087640376,价格动量
return_1d,0.0021105635,-0.0011554154,价格动量
US_CPI,0.0016005125,-0.0016005125,宏观金融
gdelt_conflict_ma5,0.0014923718,-0.0006276876,GDELT地缘政治
VIX,0.0014452608,0.0010947835,宏观金融
return_20d,0.0011392566,0.00021107536,价格动量
gdelt_mentions,0.0010287145,-0.0004959756,GDELT地缘政治
mandeb_tanker_ma7,0.0009843594,-0.0009843594,航运咽喉点
gdelt_coop_cnt,0.00075045833,-0.0007387062,GDELT地缘政治
vol_ratio,0.0007460506,-0.0007460506,价格动量
DXY,0.0005533375,-0.00038815473,宏观金融
cp7_tanker,0.00037268002,0.00027536906,航运咽喉点
cp4_tanker,0.00032815596,-0.00030866204,航运咽喉点
cp1_tanker,0.0003259507,0.00014949596,航运咽喉点
cape_reroute_signal,0.00029423708,0.0002445295,航运咽喉点
gdelt_goldstein_chg,0.00026433455,2.730677e-05,GDELT地缘政治
gdelt_conflict_cnt,0.00021393778,-9.004215e-05,GDELT地缘政治
high_vol,0.00020997848,5.3110092e-05,价格动量
US_EPU,0.00017220741,3.950564e-05,宏观金融
gdelt_tone,0.0001401024,7.6433455e-05,GDELT地缘政治
cp5_tanker,8.364627e-05,-3.2596356e-05,航运咽喉点
policy_flag,6.496834e-05,-3.3148615e-05,新闻情感
hormuz_tanker_zscore,4.2238502e-05,2.6030466e-05,航运咽喉点
hormuz_tanker_ma7,2.7199392e-05,-1.0428159e-05,航运咽喉点
gdelt_tone_chg,2.1737134e-05,-3.537298e-07,GDELT地缘政治
opec_flag,0.0,0.0,新闻情感
sentiment_score,0.0,0.0,新闻情感
geopolitics_flag,0.0,0.0,新闻情感
news_count,0.0,0.0,新闻情感
hormuz_blocked,0.0,0.0,航运咽喉点
mandeb_blocked,0.0,0.0,航运咽喉点
