date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2022-01-03,0.05542635658914725,-2.806800924196983,152,364,3795,-5.624489795918367
2022-01-04,-0.0871019108280255,-2.944904058374655,395,861,7173,-5.733060109289618
2022-01-05,0.3208333333333333,-2.6044076611077474,368,1096,8750,-5.6635294117647055
2022-01-06,-0.06510812390414972,-2.8939331598025486,540,1171,11434,-5.7592741935483875
2022-01-07,0.5390643985419198,-2.6247809633790897,461,1185,9780,-5.777168949771689
2022-01-10,0.07606602475928471,-2.678677420930075,204,523,4456,-6.608510638297873
2022-01-11,0.11604519774011299,-3.327481317565158,531,1239,12093,-5.979522862823062
2022-01-12,1.0089954038082731,-1.9106407899390037,349,1174,9501,-5.336075949367088
2022-01-13,0.312586926286509,-2.6025417329594105,412,1026,7985,-5.872704081632654
2022-01-14,0.08081067213955868,-2.9556095688117394,633,1316,13618,-5.9046979865771805
2022-01-17,0.6672451193058568,-2.6694696628308336,114,347,2454,-5.851515151515151
2022-01-18,0.7830025884383088,-1.9430375531445017,265,894,6685,-5.719421487603307
2022-01-19,0.422517394054396,-2.380656798242558,410,1171,9198,-5.839678284182305
2022-01-20,0.4468292682926829,-2.3744603526510617,406,1029,9443,-5.8065040650406505
2022-01-21,0.38951768488745986,-3.0350008097374395,420,1135,10098,-5.305115089514067
2022-01-24,0.6150427350427351,-2.853235594469137,139,446,4398,-5.488188976377953
2022-01-25,0.3257009345794392,-2.4404755646140264,503,1209,10195,-5.694067796610169
2022-01-26,0.44641350210970465,-2.090950106411211,447,1212,10409,-5.7636803874092015
2022-01-27,0.4223655913978494,-2.466805370722126,500,1360,11505,-5.828665207877461
2022-01-28,0.21761691223574628,-2.417087930931809,465,1096,9017,-5.806264501160093
2022-01-31,0.009183673469387726,-2.5346326632818084,150,340,3036,-5.934328358208955
2022-02-01,0.30971198928332205,-2.8870137480225506,411,1082,8839,-5.669922879177378
2022-02-02,0.6273623188405796,-1.9031270743729138,415,1310,10560,-6.084905660377358
