,DXY,FED_RATE,GLOBAL_EPU,US10Y,US_CPI,US_EPU,US_PPI,VIX
2020-01-01,,1.55,191.721791492481,,259.127,,199.3,
2020-01-02,114.9745,,,1.88,,139.13,,12.47
2020-01-03,114.9867,,,1.8,,108.1,,14.02
2020-01-04,,,,,,212.82,,
2020-01-05,,,,,,173.76,,
2020-01-06,114.9557,,,1.81,,147.96,,13.85
2020-01-07,115.1477,,,1.83,,103.98,,13.79
2020-01-08,115.1328,,,1.87,,91.15,,13.45
2020-01-09,115.2331,,,1.85,,71.92,,12.54
2020-01-10,115.0677,,,1.83,,74.58,,12.56
2020-01-11,,,,,,127.36,,
2020-01-12,,,,,,159.24,,
2020-01-13,115.0342,,,1.85,,124.82,,12.32
2020-01-14,115.0239,,,1.82,,109.27,,12.39
2020-01-15,114.9528,,,1.79,,98.77,,12.42
2020-01-16,115.0006,,,1.81,,88.05,,12.32
2020-01-17,115.0656,,,1.84,,77.76,,12.1
2020-01-18,,,,,,89.29,,
2020-01-19,,,,,,162.21,,
2020-01-20,,,,,,96.05,,
2020-01-21,115.1876,,,1.78,,87.56,,12.85
2020-01-22,115.2273,,,1.77,,77.19,,12.91
2020-01-23,115.5545,,,1.74,,70.67,,12.98
2020-01-24,115.5556,,,1.7,,48.48,,14.56
2020-01-25,,,,,,78.77,,
2020-01-26,,,,,,137.56,,
2020-01-27,115.8004,,,1.61,,22.25,,18.23
2020-01-28,115.7239,,,1.65,,94.68,,16.28
2020-01-29,115.7003,,,1.6,,88.62,,16.39
2020-01-30,115.8077,,,1.57,,142.05,,15.49
2020-01-31,115.7345,,,1.51,,122.2,,18.84
2020-02-01,,1.58,196.4932568732385,,259.25,,196.7,
2020-02-02,,,,,,104.49,,
2020-02-03,116.1172,,,1.54,,124.15,,17.97
2020-02-04,115.9291,,,1.61,,111.96,,16.05
2020-02-05,116.009,,,1.66,,84.94,,15.15
2020-02-06,116.1518,,,1.65,,81.75,,14.96
2020-02-07,116.5086,,,1.59,,130.27,,15.47
2020-02-08,,,,,,87.8,,
2020-02-09,,,,,,113.95,,
2020-02-10,116.5711,,,1.56,,111.39,,15.04
2020-02-11,116.3585,,,1.59,,152.71,,15.18
2020-02-12,116.2794,,,1.62,,79.26,,13.74
2020-02-13,116.3999,,,1.61,,82.23,,14.15
2020-02-14,116.4223,,,1.59,,71.98,,13.68
2020-02-15,,,,,,82.1,,
2020-02-16,,,,,,131.52,,
2020-02-17,,,,,,82.54,,
2020-02-18,116.6039,,,1.55,,77.38,,14.83
2020-02-19,116.7829,,,1.56,,56.47,,14.38
2020-02-20,117.2454,,,1.52,,103.7,,15.56
2020-02-21,117.0473,,,1.46,,106.59,,17.08
2020-02-22,,,,,,177.27,,
2020-02-23,,,,,,144.34,,
2020-02-24,117.4018,,,1.38,,88.73,,25.03
2020-02-25,117.2425,,,1.33,,147.84,,27.85
2020-02-26,117.405,,,1.33,,97.49,,27.56
2020-02-27,117.3678,,,1.3,,106.55,,39.16
